module,SecId,dat1,dat2,dat3,dat4,dat5,dat6
17,2,163,164,164,165,165,0
19,2,76,75,74,73,72,0
17,2,165,164,164,163,162,0
19,2,71,70,69,67,66,0
17,2,161,160,159,157,156,0
19,2,65,64,63,62,61,0
18,2,0,1,110,1,112,0
20,2,0,76,0,1,0,0
19,2,60,59,58,57,56,0
17,2,153,151,150,148,146,0
19,2,55,54,53,52,51,0
17,2,144,142,140,138,135,0
19,2,50,49,49,49,49,0
17,2,133,131,128,126,124,0
19,2,51,54,57,63,70,2
17,2,121,119,117,114,112,0
19,2,77,85,94,102,111,7
19,3,0,0,75,96,0,0
20,2,0,75,0,1,0,0
17,2,110,108,106,104,102,0
19,2,119,127,134,141,148,11
17,2,100,99,97,95,94,0
19,2,154,159,163,166,167,13
17,2,93,92,91,90,90,0
19,2,167,166,165,162,159,13
17,2,89,89,89,89,89,0
19,2,155,151,147,142,137,10
17,2,89,89,89,90,90,0
19,2,132,127,122,117,111,7
20,2,0,76,0,1,0,0
17,2,90,91,92,92,93,0
19,2,106,101,97,94,91,4
17,2,94,95,96,97,99,0
19,2,90,89,89,90,91,4
17,2,100,102,104,106,108,0
19,2,92,94,96,97,98,5
17,2,110,113,115,118,120,0
19,2,98,98,98,97,96,5
17,2,123,125,128,130,133,0
19,2,95,94,93,92,91,0
20,2,0,77,0,1,0,0
17,2,135,137,142,145,147,0
19,2,89,88,87,85,84,0
17,2,149,151,153,154,156,0
19,2,83,81,80,79,78,0
17,2,158,159,160,162,163,0
19,2,76,75,74,73,72,0
17,2,163,164,164,165,165,0
19,2,71,70,69,67,66,0
17,2,165,164,164,163,162,0
19,2,65,64,63,62,61,0
17,3,0,20,0,0,0,0
20,2,0,78,0,1,0,0
17,2,161,160,159,157,156,0
19,2,60,59,58,57,56,0
19,2,55,54,53,52,51,0
17,2,153,151,150,148,146,0
19,2,50,49,49,49,49,0
17,2,144,142,140,138,135,0
19,2,51,54,57,63,70,2
17,2,133,131,128,126,124,0
19,2,77,85,94,102,111,7
18,2,0,1,110,1,112,0
20,2,0,77,0,1,0,0
17,2,121,119,117,114,112,0
19,2,119,127,134,141,148,11
17,2,110,108,106,104,102,0
19,2,154,159,163,166,167,13
17,2,100,99,97,95,94,0
19,2,167,166,165,162,159,13
17,2,93,92,91,90,90,0
19,2,155,151,147,142,137,10
17,2,89,89,89,89,89,0
19,2,132,127,122,117,111,7
19,3,0,0,75,96,0,0
20,2,0,76,0,1,0,0
17,2,89,89,89,90,90,0
19,2,106,101,97,94,91,4
17,2,90,91,92,92,93,0
19,2,90,89,89,90,91,4
17,2,94,95,96,97,99,0
19,2,92,94,96,97,98,5
17,2,100,102,104,106,108,0
19,2,98,98,98,97,96,5
17,2,110,113,115,118,120,0
19,2,95,94,93,92,91,0
20,2,0,72,0,1,0,0
17,2,123,125,128,130,133,0
19,2,89,88,87,85,84,0
17,2,135,137,142,145,147,0
19,2,83,81,80,79,78,0
17,2,149,151,153,154,156,0
19,2,76,75,74,73,72,0
17,2,158,159,160,162,163,0
19,2,71,70,69,67,66,0
17,2,163,164,164,165,165,0
19,2,65,64,63,62,61,0
20,2,0,70,0,1,0,0
17,2,165,164,164,163,162,0
19,2,60,59,58,57,56,0
17,2,161,160,159,157,156,0
19,2,55,54,53,52,51,0
19,2,50,49,49,49,49,0
17,2,153,151,150,148,146,0
19,2,51,54,57,63,70,2
17,2,144,142,140,138,135,0
19,2,77,85,94,102,111,7
17,3,0,20,0,0,0,0
20,2,0,69,0,1,0,0
17,2,133,131,128,126,124,0
19,2,119,127,134,141,148,11
17,2,121,119,117,114,112,0
19,2,154,159,163,166,167,13
17,2,110,108,106,104,102,0
19,2,167,166,165,162,159,13
17,2,100,99,97,95,94,0
19,2,155,151,147,142,137,10
17,2,93,92,91,90,90,0
19,2,132,127,122,117,111,7
18,2,0,1,110,1,112,0
20,2,0,65,0,1,0,0
17,2,89,89,89,89,89,0
19,2,106,101,97,94,91,4
17,2,89,89,89,90,90,0
19,2,90,89,89,90,91,4
17,2,90,91,92,92,93,0
19,2,92,94,96,97,98,5
17,2,94,95,96,97,99,0
19,2,98,98,98,97,96,5
17,2,100,102,104,106,108,0
19,2,95,94,93,92,91,0
19,3,0,0,75,96,0,0
20,2,0,68,0,1,0,0
17,2,110,113,115,118,120,0
19,2,89,88,87,85,84,0
17,2,123,125,128,130,133,0
19,2,83,81,80,79,78,0
17,2,135,137,142,145,147,0
19,2,76,75,74,73,72,0
17,2,149,151,153,154,156,0
19,2,71,70,69,67,66,0
17,2,158,159,160,162,163,0
19,2,65,64,63,62,61,0
20,2,0,66,0,1,0,0
17,2,163,164,164,165,165,0
19,2,60,59,58,57,56,0
17,2,165,164,164,163,162,0
19,2,55,54,53,52,51,0
17,2,161,160,159,157,156,0
19,2,50,49,49,49,49,0
19,2,51,54,57,63,70,2
17,2,153,151,150,148,146,0
19,2,77,85,94,102,111,7
20,2,0,65,0,1,0,0
17,2,144,142,140,138,135,0
19,2,119,127,134,141,148,11
17,2,133,131,128,126,124,0
19,2,154,159,163,166,167,13
17,2,121,119,117,114,112,0
19,2,167,166,165,162,159,13
17,2,110,108,106,104,102,0
19,2,155,151,147,142,137,10
17,2,100,99,97,95,94,0
19,2,132,127,122,117,111,7
17,3,0,20,0,0,0,0
20,2,0,66,0,1,0,0
17,2,93,92,91,90,90,0
19,2,106,101,97,94,91,4
17,2,89,89,89,89,89,0
19,2,90,89,89,90,91,4
17,2,89,89,89,90,90,0
19,2,92,94,96,97,98,5
17,2,90,91,92,92,93,0
19,2,98,98,98,97,96,5
17,2,94,95,96,97,99,0
19,2,95,94,93,92,91,0
18,2,0,1,110,1,112,0
20,2,0,53,0,1,0,0
17,2,100,102,104,106,108,0
19,2,89,88,87,85,84,0
17,2,110,113,115,118,120,0
19,2,83,81,80,79,78,0
17,2,123,125,128,130,133,0
19,2,76,75,74,73,72,0
17,2,135,137,142,145,147,0
19,2,71,70,69,67,66,0
17,2,149,151,153,154,156,0
19,2,65,64,63,62,61,0
19,3,0,0,75,96,0,0
20,2,0,50,0,1,0,0
17,2,158,159,160,162,163,0
19,2,60,59,58,57,56,0
17,2,163,164,164,165,165,0
19,2,55,54,53,52,51,0
17,2,165,164,164,163,162,0
19,2,50,49,49,49,49,0
17,2,161,160,159,157,156,0
19,2,51,54,57,63,70,2
19,2,77,85,94,102,111,7
20,2,0,50,0,1,0,0
17,2,153,151,150,148,146,0
19,2,119,127,134,141,148,11
17,2,144,142,140,138,135,0
19,2,154,159,163,166,167,13
17,2,133,131,128,126,124,0
19,2,167,166,165,162,159,13
17,2,121,119,117,114,112,0
19,2,155,151,147,142,137,10
17,2,110,108,106,104,102,0
19,2,132,127,122,117,111,7
20,2,0,50,0,1,0,0
17,2,100,99,97,95,94,0
19,2,106,101,97,94,91,4
17,2,93,92,91,90,90,0
19,2,90,89,89,90,91,4
17,2,89,89,89,89,89,0
19,2,92,94,96,97,98,5
17,2,89,89,89,90,90,0
19,2,98,98,98,97,96,5
17,2,90,91,92,92,93,0
19,2,95,94,93,92,91,0
17,3,0,20,0,0,0,0
20,3,1,0,0,0,0,0
17,2,94,95,96,97,99,0
19,2,89,88,87,85,84,0
17,2,100,102,104,106,108,0
19,2,83,81,80,79,78,0
17,2,110,113,115,118,120,0
19,2,76,75,74,73,72,0
17,2,123,125,128,130,133,0
19,2,71,70,69,67,66,0
17,2,135,137,142,145,147,0
19,2,65,64,63,62,61,0
18,2,0,1,110,1,112,0
20,4,0,120,0,80,0,93
17,2,149,151,153,154,156,0
19,2,60,59,58,57,56,0
17,2,158,159,160,162,163,0
19,2,55,54,53,52,51,0
17,2,163,164,164,165,165,0
19,2,50,49,49,49,49,0
17,2,165,164,164,163,162,0
19,2,51,54,57,63,70,2
17,2,161,160,159,157,156,0
19,2,77,85,94,102,111,7
19,3,0,0,75,96,0,0
20,5,0,60,0,0,0,0
19,2,119,127,134,141,148,11
17,2,153,151,150,148,146,0
19,2,154,159,163,166,167,13
17,2,144,142,140,138,135,0
19,2,167,166,165,162,159,13
17,2,133,131,128,126,124,0
19,2,155,151,147,142,137,10
17,2,121,119,117,114,112,0
19,2,132,127,122,117,111,7
17,2,110,108,106,104,102,0
19,2,106,101,97,94,91,4
17,2,100,99,97,95,94,0
19,2,90,89,89,90,91,4
17,2,93,92,91,90,90,0
19,2,92,94,96,97,98,5
17,2,89,89,89,89,89,0
19,2,98,98,98,97,96,5
17,2,89,89,89,90,90,0
19,2,95,94,93,92,91,0
17,2,90,91,92,92,93,0
19,2,89,88,87,85,84,0
17,2,94,95,96,97,99,0
19,2,83,81,80,79,78,0
17,2,100,102,104,106,108,0
19,2,76,75,74,73,72,0
17,2,110,113,115,118,120,0
19,2,71,70,69,67,66,0
17,2,123,125,128,130,133,0
19,2,65,64,63,62,61,0
17,3,0,20,0,0,0,0
17,2,135,137,142,145,147,0
19,2,60,59,58,57,56,0
17,2,149,151,153,154,156,0
19,2,55,54,53,52,51,0
17,2,158,159,160,162,163,0
19,2,50,49,49,49,49,0
17,2,163,164,164,165,165,0
19,2,51,54,57,63,70,2
17,2,165,164,164,163,162,0
19,2,77,85,94,102,111,7
18,2,0,1,110,1,112,0
17,2,161,160,159,157,156,0
19,2,119,127,134,141,148,11
19,2,154,159,163,166,167,13
17,2,153,151,150,148,146,0
19,2,167,166,165,162,159,13
17,2,144,142,140,138,135,0
19,2,155,151,147,142,137,10
17,2,133,131,128,126,124,0
19,2,132,127,122,117,111,7
19,3,0,0,75,96,0,0
17,2,121,119,117,114,112,0
19,2,106,101,97,94,91,4
17,2,110,108,106,104,102,0
19,2,90,89,89,90,91,4
17,2,100,99,97,95,94,0
19,2,92,94,96,97,98,5
17,2,93,92,91,90,90,0
19,2,98,98,98,97,96,5
17,2,89,89,89,89,89,0
19,2,95,94,93,92,91,0
17,2,89,89,89,90,90,0
19,2,89,88,87,85,84,0
17,2,90,91,92,92,93,0
19,2,83,81,80,79,78,0
17,2,94,95,96,97,99,0
